time,vehicle_id,x,y,speed
120.00,flow0.26,-2787.49,3911.61,0.00
121.00,flow0.23,-2696.24,3911.61,11.58
121.00,flow0.24,-2748.20,3911.61,7.03
121.00,flow0.25,-2774.61,3911.61,4.10
121.00,flow0.26,-2786.95,3911.61,0.54
122.00,flow0.23,-2684.32,3911.61,11.92
122.00,flow0.24,-2740.50,3911.61,7.70
122.00,flow0.25,-2769.72,3911.61,4.89
122.00,flow0.26,-2785.88,3911.61,1.08
123.00,flow0.24,-2732.29,3911.61,8.21
123.00,flow0.25,-2763.87,3911.61,5.85
123.00,flow0.26,-2783.90,3911.61,1.98
124.00,flow0.24,-2723.22,3911.61,9.07
124.00,flow0.25,-2757.41,3911.61,6.46
124.00,flow0.26,-2781.13,3911.61,2.77
125.00,flow0.24,-2713.64,3911.61,9.58
125.00,flow0.25,-2750.07,3911.61,7.34
125.00,flow0.26,-2777.44,3911.61,3.69
125.00,flow0.27,-2787.49,3911.61,0.00
126.00,flow0.24,-2703.29,3911.61,10.36
126.00,flow0.25,-2742.02,3911.61,8.05
126.00,flow0.26,-2772.91,3911.61,4.53
126.00,flow0.27,-2786.73,3911.61,0.76
127.00,flow0.24,-2692.05,3911.61,11.24
127.00,flow0.25,-2733.37,3911.61,8.65
127.00,flow0.26,-2767.67,3911.61,5.24
127.00,flow0.27,-2785.24,3911.61,1.50
128.00,flow0.25,-2724.16,3911.61,9.21
128.00,flow0.26,-2761.87,3911.61,5.80
128.00,flow0.27,-2782.91,3911.61,2.33
129.00,flow0.25,-2714.31,3911.61,9.85
129.00,flow0.26,-2755.32,3911.61,6.55
129.00,flow0.27,-2779.69,3911.61,3.23
129.00,flow0.28,-2787.49,3911.61,0.00
130.00,flow0.25,-2703.47,3911.61,10.84
130.00,flow0.26,-2748.19,3911.61,7.13
130.00,flow0.27,-2775.71,3911.61,3.97
130.00,flow0.28,-2787.28,3911.61,0.21
131.00,flow0.25,-2691.86,3911.61,11.61
131.00,flow0.26,-2740.48,3911.61,7.71
131.00,flow0.27,-2770.88,3911.61,4.83
131.00,flow0.28,-2786.16,3911.61,1.12
132.00,flow0.26,-2732.10,3911.61,8.39
132.00,flow0.27,-2765.22,3911.61,5.66
132.00,flow0.28,-2784.38,3911.61,1.77
133.00,flow0.26,-2722.78,3911.61,9.32
133.00,flow0.27,-2758.85,3911.61,6.37
